BLDG_A,BLDG_B,BLDG_C,BLDG_D,BLDG_E,BLDG_F,CENTRAL
3253.89,589.212,1455.49,1623.69,328.029,500.58,7750.88
3522.4,643.756,1571.64,1726.18,351.382,539.306,8354.66
3652.8,669.7,1626.97,1772.52,362.087,557.458,8641.54
3658.91,668.4,1629.59,1774.56,361.197,558.703,8651.36
3718.31,682.223,1648.38,1777.53,364.12,562.433,8753
3932.2,727.979,1743.35,1865.33,384.874,594.255,9247.99
3986.89,740.97,1762.4,1869.47,388.27,598.405,9346.4
4119.73,768.175,1823.14,1929.92,401.481,619.476,9661.92
4214.78,787.489,1865.1,1970.59,410.531,633.659,9882.15
4216.1,786.448,1863.32,1966.42,409.349,632.4,9874.03
4384.46,819.288,1946.13,2058.89,427.61,662.985,10299.4
4394.37,818.916,1950.52,2066.27,428.068,664.761,10322.9
4242.67,795.172,1889.94,1877.55,417.54,633.4,9856.27
4347.49,814.6,1943.38,1928.4,429.394,652.665,10115.9
4281.84,827.219,1932.47,1880.45,431.323,648.41,10001.7
4211.51,811.631,1901.11,1853.86,425.602,637.316,9841.03
3974.91,757.704,1791,1754.82,400.237,598.972,9277.65
3802.4,719.068,1710.6,1683.2,382.068,571.066,8868.4
3701.81,694.137,1662.76,1650.52,371.324,555.345,8635.9
3416.67,635.678,1532.77,1517.52,342.829,509.04,7954.51
3341.08,620.515,1502.43,1486.28,337.61,498.701,7786.61
3252.51,603.02,1461.16,1447.38,330.262,484.363,7578.69
2969.88,542.975,1327.48,1327.97,301.755,438.81,6908.88
2647.21,465.434,1176.3,1225.39,268.196,391.799,6174.33
2689.9,474.677,1186.23,1252.18,269.256,394.807,6267.04
2972.32,535.725,1319.7,1365.79,298.55,441.474,6933.55
3063.79,555.789,1366.7,1404.19,308.692,458.963,7158.12
2964.72,534.17,1325.75,1366.79,298.679,446.637,6936.75
3012.05,539.043,1339.7,1463.07,298.754,458.322,7110.94
3072.68,554.745,1366.86,1482.37,304.881,467.231,7248.77
3098.53,562.675,1375.45,1484.62,306.717,469.396,7297.39
3079.92,561.033,1365.67,1469.64,304.95,465.569,7246.79
2990.57,543.461,1325.61,1427.33,296.13,451.848,7034.95
2902.75,526.811,1284.98,1383.1,287.43,437.599,6822.68
3137.63,578.994,1394.83,1496.65,313.789,476.589,7398.49
